City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
208,st. john's,47.5649,-52.7093,56.156000000000006,94,100,8.23,CA,08/10/2023
209,pankrushikha,53.8319,80.3406,70.52000000000004,46,54,1.23,RU,08/10/2023
210,kotwa,25.0167,81.3167,81.08600000000007,75,100,3.7,IN,08/10/2023
211,atafu village,-8.5421,-172.5159,82.41799999999995,79,33,6.4,TK,08/10/2023
212,coquimbo,-29.9533,-71.3436,56.93000000000001,94,100,4.12,CL,08/10/2023
213,heroica guaymas,27.9333,-110.9,92.12000000000006,40,0,1.98,MX,08/10/2023
214,coahuayana de hidalgo,18.7,-103.6583,77.3239999999999,78,87,2.05,MX,08/10/2023
215,talnakh,69.4865,88.3972,58.20799999999991,51,100,2.8,RU,08/10/2023
216,yuzhno-kurilsk,44.0306,145.8556,71.25799999999998,91,100,5.86,RU,08/10/2023
217,san patricio,28.017,-97.5169,86.08999999999997,80,0,8.58,US,08/10/2023
218,tamanrasset,22.785,5.5228,82.31,30,0,6.17,DZ,08/10/2023
219,umm ruwaba,12.9061,31.2158,78.62000000000006,73,100,3.91,SD,08/10/2023
220,balugaon,20.1667,85.1,86.44999999999999,61,72,2.14,IN,08/10/2023
221,chinde,26.8418,88.0763,71.27600000000012,86,89,1.8,NP,08/10/2023
222,katsuura,35.1333,140.3,84.12799999999999,72,80,4.69,JP,08/10/2023
223,smidovich,48.6,133.8167,71.31199999999995,66,100,5.41,RU,08/10/2023
224,baoying,33.2292,119.3092,87.53000000000003,62,4,3.4,CN,08/10/2023
225,chonchi,-42.6128,-73.8092,47.40799999999996,94,97,3.77,CL,08/10/2023
226,inhambane,-23.865,35.3833,66.57800000000003,71,15,4.73,MZ,08/10/2023
227,severo-yeniseyskiy,60.3725,93.0408,63.914000000000044,55,28,3.33,RU,08/10/2023
228,kodiak,57.79,-152.4072,53.113999999999976,94,75,2.06,US,08/10/2023
229,whakatane,-37.9585,176.9854,54.51799999999997,85,92,1.34,NZ,08/10/2023
230,antonio enes,-16.2325,39.9086,69.83600000000007,81,13,4.06,MZ,08/10/2023
231,kapuskasing,49.4169,-82.4331,60.88999999999993,82,100,5.66,CA,08/10/2023
232,crane,31.3974,-102.3501,91.97600000000006,22,48,2.61,US,08/10/2023
233,vernon,50.2581,-119.2691,75.56,38,31,2.06,CA,08/10/2023
234,gaigeturi,33.4644,126.3183,80.65399999999994,78,40,8.75,KR,08/10/2023
235,niafunke,15.9322,-3.9906,90.80599999999998,43,100,5.33,ML,08/10/2023
236,longyearbyen,78.2186,15.6401,49.837999999999965,66,0,7.2,SJ,08/10/2023
237,swift current,50.2834,-107.8014,63.410000000000025,67,100,9.77,CA,08/10/2023
238,peniche,39.3558,-9.3811,68.108,97,3,1.7,PT,08/10/2023
239,hamilton,39.1834,-84.5333,73.50799999999998,91,100,3.6,US,08/10/2023
240,kingston,17.997,-76.7936,86.95400000000001,87,75,4.63,JM,08/10/2023
241,pemangkat,1.1667,108.9667,84.05599999999998,72,62,0.93,ID,08/10/2023
242,teguise,29.0605,-13.564,70.0159999999999,83,0,10.8,ES,08/10/2023
243,vizinga,61.0749,50.1031,64.79599999999999,73,9,0.68,RU,08/10/2023
244,dabakala,8.3667,-4.4333,71.74399999999997,97,100,3.27,CI,08/10/2023
245,juuka,63.2333,29.25,58.33399999999989,95,100,1.65,FI,08/10/2023
246,labrador city,52.9463,-66.9114,51.70999999999998,100,100,2.06,CA,08/10/2023
247,maintirano,-18.0667,44.0167,68.19800000000004,89,2,2.87,MG,08/10/2023
248,nadym,65.5333,72.5167,48.75799999999998,73,100,10.98,RU,08/10/2023
249,jamestown,42.097,-79.2353,69.70999999999998,77,0,2.06,US,08/10/2023
250,al kharijah,25.4514,30.5464,83.37200000000001,22,0,3.94,EG,08/10/2023
251,qarazhal,48.0078,70.7903,69.34999999999997,64,100,6.1,KZ,08/10/2023
252,puerto baquerizo moreno,-0.9,-89.6,74.55199999999996,81,76,2.83,EC,08/10/2023
253,pacasmayo,-7.4006,-79.5714,68.62999999999994,84,43,5.76,PE,08/10/2023
254,akrehamn,59.2667,5.1833,52.05200000000002,82,75,10.8,NO,08/10/2023
255,mirnyy,62.5353,113.9611,73.238,49,61,3.13,RU,08/10/2023
256,andergrove,-21.0833,149.1833,73.65199999999999,65,8,6.3,AU,08/10/2023
257,sitka,57.0531,-135.33,60.69199999999995,82,100,2.57,US,08/10/2023
258,andovoranto,-18.95,49.1,64.74200000000002,94,89,1.61,MG,08/10/2023
259,vylkove,45.4021,29.586,68.55799999999994,65,54,5.31,UA,08/10/2023
260,salekhard,66.53,66.6019,59.287999999999954,59,14,4.97,RU,08/10/2023
261,al badari,26.9926,31.4155,81.85999999999996,33,0,3.12,EG,08/10/2023
262,sur,22.5667,59.5289,85.31599999999997,61,58,4.57,OM,08/10/2023
263,lorengau,-2.0226,147.2712,82.92199999999997,77,97,7.47,PG,08/10/2023
264,muisne,0.6,-80.0333,77.93599999999998,85,100,3.87,EC,08/10/2023
265,porto novo,6.4965,2.6036,78.62000000000006,87,100,3.68,BJ,08/10/2023
266,uporovo,56.3109,66.2693,62.95999999999998,76,100,5.07,RU,08/10/2023
267,ulsteinvik,62.3432,5.8487,54.75200000000001,94,100,3.13,NO,08/10/2023
268,zintan,31.9223,12.252,65.13799999999998,56,0,2.72,LY,08/10/2023
269,chibougamau,49.9168,-74.3659,62.22200000000004,77,100,2.57,CA,08/10/2023
270,berdigestyakh,62.0989,126.6992,75.54199999999997,42,2,4.49,RU,08/10/2023
271,chadron,42.8294,-102.9999,71.85200000000003,58,0,3.09,US,08/10/2023
272,vorkuta,67.5,64.0,54.85999999999996,68,69,5.13,RU,08/10/2023
273,ondjiva,-17.0667,15.7333,62.636000000000024,31,89,1.03,AO,08/10/2023
274,yatou,37.15,122.3833,84.77600000000012,70,2,9.04,CN,08/10/2023
275,okhotsk,59.3833,143.3,63.481999999999914,65,15,4.57,RU,08/10/2023
276,pangody,65.85,74.4859,51.63799999999998,68,89,10.08,RU,08/10/2023
277,revda,56.801,59.9303,65.62399999999997,74,99,2.97,RU,08/10/2023
278,newman,37.3138,-121.0208,84.18199999999996,42,0,0.89,US,08/10/2023
279,ormara,25.2088,64.6357,81.37399999999997,82,100,7.01,PK,08/10/2023
280,quatre cocos,-20.2078,57.7625,72.08600000000007,76,3,4.75,MU,08/10/2023
281,dakhla,23.6848,-15.958,68.62999999999994,92,24,9.12,EH,08/10/2023
282,cabo san lucas,22.8909,-109.9124,85.04599999999999,78,20,8.23,MX,08/10/2023
283,lerwick,60.1545,-1.1494,51.799999999999955,78,51,5.01,GB,08/10/2023
284,sinop,41.7711,34.8709,64.61599999999993,94,77,0.38,TR,08/10/2023
285,gizo,-8.103,156.8419,79.73600000000005,81,99,9.96,SB,08/10/2023
286,radhanpur,23.8333,71.6,82.65199999999999,74,100,6.31,IN,08/10/2023
287,sterling,39.0062,-77.4286,77.79199999999997,78,75,1.54,US,08/10/2023
288,corovode,40.5042,20.2272,63.01399999999995,64,75,1.1,AL,08/10/2023
289,kapa'a,22.0752,-159.319,87.78199999999998,75,75,8.75,US,08/10/2023
290,ketchikan,55.3422,-131.6461,59.46800000000002,94,100,4.63,US,08/10/2023
